Model,Maker,Type,Seats,Displacement,Length,Width,Height,Wheelbase,No_of_Cylinders,Fuel,Engine Type,Transmission,Front Brake,Rear Brake,Drive,Turning Radius,Fuel Tank Capacity,Boot Space,Fuel Efficiency,Emission Type,Tyre Size,Variants,NCAP Rating
Virtus,Volkswagen,Sedan,5,999,4561,1752,1507,2651,3,Petrol,1.0L TSI,6-Speed MT,Disc,Drum,2WD,5.05,45,521,19.4,BS VI,205/55 R16,3,Not Tested
Virtus,Volkswagen,Sedan,5,999,4561,1752,1507,2651,3,Petrol,1.0L TSI,6-Speed AT,Disc,Drum,2WD,5.05,45,521,18.12,BS VI,205/55 R16,2,Not Tested
Virtus,Volkswagen,Sedan,5,1498,4561,1752,1507,2651,4,Petrol,1.5L TSI Evo with ACT,7-Speed DSG,Disc,Drum,2WD,5.05,45,521,18.67,BS VI,205/55 R16,1,Not Tested
Taigun,Volkswagen,Mid Size SUV,5,999,4221,1760,1612,2651,3,Petrol,1.0L TSI,6-Speed MT,Disc,Drum,2WD,5.05,50,385,19.2,BS VI,205/55 R17,3,5
Taigun,Volkswagen,Mid Size SUV,5,999,4221,1760,1612,2651,3,Petrol,1.0L TSI,6-Speed AT,Disc,Drum,2WD,5.05,50,385,17.23,BS VI,205/55 R17,2,5
Taigun,Volkswagen,Mid Size SUV,5,1498,4221,1760,1612,2651,3,Petrol,1.5L TSI Evo with ACT,6-Speed MT,Disc,Drum,2WD,5.05,50,385,18.47,BS VI,205/55 R17,1,5
Taigun,Volkswagen,Mid Size SUV,5,1498,4221,1760,1612,2651,3,Petrol,1.5L TSI Evo with ACT,7-Speed DSG,Disc,Drum,2WD,5.05,50,385,17.88,BS VI,205/55 R17,1,5
Tiguan,Volkswagen,SUV,5,1984,4509,1839,1665,2679,4,Petrol,2L TSI In-Line,7-Speed DSG 4MOTION,Disc,Disc,2WD,5.39,60,616,12.65,BS VI,235/55 R18,1,5
Amaze,Honda,Compact Sedan,5,1199,3995,1695,1501,2470,4,Petrol,SOHC i-VTEC,5 MT,Disc,Drum,2WD,4.7,35,420,18.6,BS VI,175/65 R15,3,4
Amaze,Honda,Compact Sedan,5,1199,3995,1695,1501,2470,4,Petrol,SOHC i-VTEC,CVT,Disc,Drum,2WD,4.7,35,420,18.3,BS VI,175/65 R15,2,4
Amaze,Honda,Compact Sedan,5,1498,3995,1695,1501,2470,4,Diesel,DOHC i-DTEC,5 MT,Disc,Drum,2WD,4.9,35,420,24.7,BS VI,175/65 R15,3,4
Amaze,Honda,Compact Sedan,5,1498,3995,1695,1501,2470,4,Diesel,DOHC i-DTEC,CVT,Disc,Drum,2WD,4.9,35,420,21,BS VI,175/65 R15,2,4
City 5th Gen,Honda,Sedan,5,1498,4549,1748,1489,2600,4,Petrol,i-VTEC DOHC with VTC,6 MT,Disc,Drum,2WD,5.3,40,506,17.8,BS VI,185/55 R16,3,5
City 5th Gen,Honda,Sedan,5,1498,4549,1748,1489,2600,4,Petrol,i-VTEC DOHC with VTC,CVT,Disc,Drum,2WD,5.3,40,506,18.4,BS VI,185/55 R16,3,5
