col_30_1,col_30_2,col_30_3,col_30_4,gender_1,gender_2,gender_3
1,0,0,0,1,0,0
1,0,0,0,0,1,0
1,0,0,0,1,0,0
0,1,0,0,0,1,0
1,0,0,0,0,1,0
0,1,0,0,0,1,0
0,0,1,0,1,0,0
1,0,0,0,0,1,0
1,0,0,0,1,0,0
0,0,0,1,0,1,0
1,0,0,0,1,0,0
0,1,0,0,1,0,0
0,0,0,1,1,0,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
1,0,0,0,0,1,0
1,0,0,0,0,1,0
1,0,0,0,0,1,0
0,1,0,0,0,1,0
0,0,0,1,0,1,0
1,0,0,0,0,1,0
0,0,0,1,1,0,0
0,1,0,0,1,0,0
1,0,0,0,0,1,0
1,0,0,0,0,1,0
1,0,0,0,1,0,0
1,0,0,0,0,1,0
0,1,0,0,0,1,0
0,1,0,0,0,1,0
0,1,0,0,0,1,0
0,0,1,0,0,1,0
1,0,0,0,0,1,0
0,1,0,0,1,0,0
1,0,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,0,0,1,1,0,0
1,0,0,0,1,0,0
1,0,0,0,1,0,0
0,0,0,1,0,1,0
0,0,0,1,0,1,0
1,0,0,0,0,1,0
1,0,0,0,1,0,0
0,0,0,1,0,1,0
0,1,0,0,1,0,0
1,0,0,0,0,1,0
1,0,0,0,0,1,0
0,1,0,0,1,0,0
1,0,0,0,1,0,0
0,1,0,0,0,1,0
1,0,0,0,0,1,0
0,0,0,1,1,0,0
0,0,0,1,1,0,0
0,1,0,0,0,1,0
1,0,0,0,0,1,0
0,0,1,0,1,0,0
1,0,0,0,0,1,0
1,0,0,0,1,0,0
0,1,0,0,0,1,0
0,0,0,1,1,0,0
0,0,1,0,0,1,0
0,1,0,0,1,0,0
0,0,0,1,1,0,0
0,0,0,1,0,1,0
0,0,0,1,0,1,0
0,1,0,0,0,1,0
1,0,0,0,1,0,0
0,0,0,1,1,0,0
1,0,0,0,0,1,0
0,0,0,1,0,1,0
1,0,0,0,1,0,0
1,0,0,0,1,0,0
1,0,0,0,1,0,0
1,0,0,0,1,0,0
0,1,0,0,1,0,0
1,0,0,0,0,1,0
0,0,0,1,1,0,0
1,0,0,0,0,1,0
0,0,0,1,1,0,0
1,0,0,0,1,0,0
0,1,0,0,0,1,0
0,0,0,1,1,0,0
0,0,0,1,1,0,0
1,0,0,0,0,1,0
0,1,0,0,0,1,0
1,0,0,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,0,1,0
1,0,0,0,1,0,0
0,0,1,0,0,1,0
1,0,0,0,1,0,0
1,0,0,0,0,0,1
1,0,0,0,1,0,0
0,1,0,0,0,1,0
1,0,0,0,0,1,0
1,0,0,0,1,0,0
1,0,0,0,0,1,0
1,0,0,0,0,1,0
0,1,0,0,1,0,0
1,0,0,0,0,1,0
1,0,0,0,0,1,0
1,0,0,0,1,0,0
1,0,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,0,0,1,1,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,0,0,1,0,1,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
0,0,0,1,1,0,0
0,1,0,0,0,1,0
1,0,0,0,1,0,0
1,0,0,0,1,0,0
0,0,1,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,0,1,0
0,0,0,1,0,1,0
0,0,1,0,1,0,0
0,1,0,0,0,1,0
1,0,0,0,0,1,0
0,1,0,0,0,1,0
1,0,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
1,0,0,0,0,1,0
1,0,0,0,0,1,0
1,0,0,0,1,0,0
0,1,0,0,1,0,0
1,0,0,0,0,1,0
0,0,1,0,0,1,0
1,0,0,0,1,0,0
0,1,0,0,0,1,0
0,0,0,1,1,0,0
0,1,0,0,1,0,0
1,0,0,0,1,0,0
0,0,1,0,1,0,0
1,0,0,0,1,0,0
1,0,0,0,0,1,0
1,0,0,0,0,1,0
1,0,0,0,1,0,0
0,0,0,1,1,0,0
0,0,0,1,1,0,0
1,0,0,0,0,1,0
0,0,0,1,1,0,0
1,0,0,0,1,0,0
1,0,0,0,1,0,0
1,0,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,0,1,0
0,0,0,1,0,1,0
1,0,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
1,0,0,0,1,0,0
0,0,0,1,0,1,0
0,1,0,0,1,0,0
0,0,0,1,1,0,0
1,0,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,0,1,0
1,0,0,0,0,1,0
1,0,0,0,0,1,0
0,0,0,1,0,1,0
0,1,0,0,0,1,0
0,0,1,0,0,1,0
0,1,0,0,1,0,0
1,0,0,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,0,0,1,0,1,0
0,0,0,1,0,1,0
0,0,0,1,1,0,0
0,0,1,0,0,1,0
0,0,0,1,0,1,0
0,1,0,0,0,1,0
1,0,0,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
1,0,0,0,1,0,0
0,0,1,0,0,1,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
1,0,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,0,1,0,0,1,0
0,0,0,1,0,1,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
1,0,0,0,0,1,0
0,0,0,1,1,0,0
0,0,0,1,1,0,0
0,1,0,0,0,1,0
0,0,1,0,1,0,0
1,0,0,0,0,1,0
0,1,0,0,0,1,0
1,0,0,0,1,0,0
0,0,0,1,1,0,0
1,0,0,0,1,0,0
1,0,0,0,1,0,0
0,0,0,1,1,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
1,0,0,0,1,0,0
0,0,0,1,1,0,0
0,0,0,1,1,0,0
0,1,0,0,0,1,0
0,0,0,1,0,1,0
1,0,0,0,0,1,0
0,1,0,0,1,0,0
0,0,0,1,0,1,0
1,0,0,0,1,0,0
0,0,1,0,0,1,0
1,0,0,0,1,0,0
1,0,0,0,0,1,0
1,0,0,0,0,1,0
1,0,0,0,0,1,0
1,0,0,0,0,1,0
0,1,0,0,1,0,0
0,0,0,1,1,0,0
1,0,0,0,1,0,0
0,1,0,0,0,1,0
1,0,0,0,1,0,0
1,0,0,0,0,1,0
0,1,0,0,0,1,0
0,0,0,1,0,1,0
0,0,1,0,0,1,0
0,0,0,1,1,0,0
1,0,0,0,0,0,1
0,0,1,0,0,1,0
0,1,0,0,0,1,0
1,0,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,0,1,0
0,0,0,1,1,0,0
0,1,0,0,0,1,0
0,0,1,0,0,1,0
0,0,0,1,1,0,0
0,1,0,0,0,1,0
0,1,0,0,0,1,0
0,1,0,0,0,1,0
0,0,0,1,0,1,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,0,0,1,0,1,0
1,0,0,0,1,0,0
0,0,0,1,1,0,0
1,0,0,0,0,1,0
1,0,0,0,0,1,0
0,0,1,0,1,0,0
0,0,0,1,0,1,0
1,0,0,0,1,0,0
1,0,0,0,0,1,0
1,0,0,0,1,0,0
1,0,0,0,1,0,0
0,1,0,0,0,0,1
1,0,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,0,0,1,1,0,0
1,0,0,0,0,1,0
0,1,0,0,1,0,0
1,0,0,0,1,0,0
0,0,1,0,0,1,0
1,0,0,0,1,0,0
1,0,0,0,0,0,1
0,0,0,1,1,0,0
0,1,0,0,0,1,0
0,0,0,1,1,0,0
1,0,0,0,1,0,0
0,1,0,0,0,1,0
1,0,0,0,1,0,0
0,0,0,1,1,0,0
1,0,0,0,0,1,0
0,0,1,0,0,1,0
0,1,0,0,0,1,0
1,0,0,0,0,1,0
0,0,0,1,0,1,0
1,0,0,0,1,0,0
1,0,0,0,0,1,0
0,0,0,1,1,0,0
0,0,0,1,0,0,1
0,1,0,0,0,1,0
1,0,0,0,0,1,0
0,1,0,0,0,1,0
0,1,0,0,0,1,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
1,0,0,0,1,0,0
1,0,0,0,0,1,0
1,0,0,0,0,1,0
1,0,0,0,1,0,0
0,1,0,0,0,1,0
1,0,0,0,0,1,0
1,0,0,0,0,1,0
0,0,1,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,0,0,1,1,0,0
1,0,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
1,0,0,0,0,1,0
1,0,0,0,1,0,0
0,1,0,0,0,1,0
0,0,0,1,1,0,0
0,0,0,1,1,0,0
1,0,0,0,0,1,0
0,0,0,1,0,1,0
0,0,0,1,0,1,0
0,0,1,0,0,1,0
0,1,0,0,0,1,0
0,0,1,0,0,1,0
0,1,0,0,0,1,0
0,0,0,1,1,0,0
0,0,0,1,1,0,0
1,0,0,0,0,1,0
0,1,0,0,0,1,0
1,0,0,0,0,1,0
1,0,0,0,0,1,0
1,0,0,0,0,1,0
1,0,0,0,0,1,0
1,0,0,0,1,0,0
0,0,0,1,1,0,0
1,0,0,0,0,1,0
1,0,0,0,0,1,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
1,0,0,0,1,0,0
1,0,0,0,0,1,0
1,0,0,0,0,1,0
0,0,1,0,1,0,0
0,0,0,1,1,0,0
1,0,0,0,0,1,0
0,0,0,1,1,0,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
1,0,0,0,1,0,0
1,0,0,0,1,0,0
0,0,0,1,1,0,0
0,1,0,0,1,0,0
0,0,1,0,0,1,0
1,0,0,0,1,0,0
1,0,0,0,0,1,0
1,0,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,0,0,1,1,0,0
1,0,0,0,0,1,0
0,1,0,0,1,0,0
0,0,1,0,0,1,0
0,0,0,1,1,0,0
1,0,0,0,1,0,0
1,0,0,0,0,0,1
1,0,0,0,0,1,0
1,0,0,0,0,1,0
0,0,0,1,0,1,0
1,0,0,0,1,0,0
1,0,0,0,1,0,0
0,0,0,1,1,0,0
1,0,0,0,0,1,0
1,0,0,0,1,0,0
1,0,0,0,1,0,0
1,0,0,0,0,1,0
0,0,0,1,0,1,0
1,0,0,0,1,0,0
1,0,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,0,1,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,1,0,0
1,0,0,0,0,1,0
1,0,0,0,1,0,0
0,0,0,1,0,1,0
1,0,0,0,1,0,0
1,0,0,0,1,0,0
1,0,0,0,0,0,1
0,0,0,1,0,1,0
0,1,0,0,0,1,0
1,0,0,0,0,1,0
0,1,0,0,0,1,0
0,1,0,0,0,0,1
1,0,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,0,0,1,1,0,0
1,0,0,0,1,0,0
0,1,0,0,0,0,1
0,0,0,1,1,0,0
1,0,0,0,0,1,0
0,0,0,1,0,1,0
0,0,1,0,0,1,0
1,0,0,0,1,0,0
0,1,0,0,0,1,0
1,0,0,0,0,1,0
1,0,0,0,1,0,0
0,0,0,1,1,0,0
0,0,0,1,1,0,0
1,0,0,0,0,1,0
1,0,0,0,1,0,0
1,0,0,0,0,1,0
0,1,0,0,1,0,0
0,0,0,1,0,1,0
0,0,1,0,1,0,0
1,0,0,0,0,1,0
0,0,1,0,0,1,0
1,0,0,0,0,1,0
1,0,0,0,1,0,0
0,1,0,0,1,0,0
1,0,0,0,0,1,0
1,0,0,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
1,0,0,0,0,1,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
1,0,0,0,1,0,0
0,0,0,1,1,0,0
0,1,0,0,1,0,0
0,0,0,1,1,0,0
1,0,0,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,0,1,0
0,0,1,0,1,0,0
0,0,1,0,1,0,0
0,1,0,0,0,1,0
1,0,0,0,0,1,0
0,0,0,1,1,0,0
1,0,0,0,0,1,0
1,0,0,0,0,1,0
1,0,0,0,1,0,0
0,1,0,0,1,0,0
1,0,0,0,0,1,0
0,1,0,0,0,1,0
1,0,0,0,1,0,0
0,0,0,1,1,0,0
0,1,0,0,0,1,0
0,0,0,1,1,0,0
0,1,0,0,1,0,0
0,0,0,1,1,0,0
0,0,0,1,1,0,0
0,0,0,1,0,1,0
0,0,0,1,0,1,0
0,1,0,0,0,0,1
0,1,0,0,0,1,0
0,0,1,0,0,1,0
0,0,0,1,0,1,0
0,1,0,0,1,0,0
0,0,0,1,1,0,0
0,0,1,0,0,1,0
0,1,0,0,0,1,0
0,0,0,1,0,1,0
0,0,0,1,0,1,0
0,1,0,0,1,0,0
0,0,0,1,0,1,0
0,1,0,0,1,0,0
0,0,1,0,0,1,0
1,0,0,0,1,0,0
0,0,0,1,1,0,0
0,1,0,0,1,0,0
1,0,0,0,0,1,0
0,0,0,1,0,1,0
1,0,0,0,0,1,0
0,0,0,1,0,1,0
0,0,0,1,0,1,0
0,1,0,0,1,0,0
1,0,0,0,1,0,0
0,0,1,0,0,1,0
0,1,0,0,0,1,0
0,0,1,0,1,0,0
0,0,0,1,1,0,0
0,1,0,0,0,1,0
0,0,1,0,0,1,0
1,0,0,0,1,0,0
0,0,0,1,0,1,0
1,0,0,0,0,1,0
0,0,0,1,1,0,0
0,1,0,0,1,0,0
0,0,0,1,1,0,0
1,0,0,0,0,1,0
0,0,0,1,0,1,0
0,0,0,1,0,0,1
1,0,0,0,0,1,0
1,0,0,0,0,1,0
1,0,0,0,1,0,0
1,0,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,0,1,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
1,0,0,0,0,1,0
1,0,0,0,0,1,0
1,0,0,0,1,0,0
0,1,0,0,0,1,0
0,1,0,0,0,1,0
1,0,0,0,1,0,0
0,1,0,0,0,1,0
0,0,0,1,0,1,0
0,1,0,0,1,0,0
1,0,0,0,0,1,0
1,0,0,0,0,1,0
0,0,1,0,1,0,0
0,0,0,1,0,1,0
1,0,0,0,1,0,0
0,1,0,0,1,0,0
1,0,0,0,0,1,0
1,0,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,1,0,0,0,1,0
1,0,0,0,1,0,0
1,0,0,0,0,1,0
1,0,0,0,1,0,0
